planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,bus_agg_service_info,bus_agg_safety,bus_agg_comfort,bus_agg_convenience,bus_agg_customer_service
HOUGANG,customer_satisfaction_score,0.24,-0.34,0.51,0.73,0.85,1.0,0.7,0.47,0.7,0.41,0.77,0.91
HOUGANG,customer_loyalty‎_user_trust_score,0.38,-0.01,0.54,0.74,0.54,0.7,1.0,0.37,0.65,0.6,0.87,0.73
HOUGANG,bus_agg_service_info,-0.19,-0.13,0.14,0.54,0.49,0.47,0.37,1.0,0.73,0.78,0.69,0.5
HOUGANG,bus_agg_safety,0.03,0.1,0.38,0.73,0.56,0.7,0.65,0.73,1.0,0.75,0.83,0.73
HOUGANG,bus_agg_comfort,0.16,0.14,0.37,0.59,0.35,0.41,0.6,0.78,0.75,1.0,0.66,0.55
HOUGANG,bus_agg_convenience,0.03,0.0,0.35,0.84,0.69,0.77,0.87,0.69,0.83,0.66,1.0,0.79
HOUGANG,bus_agg_customer_service,0.04,-0.02,0.38,0.81,0.74,0.91,0.73,0.5,0.73,0.55,0.79,1.0
JURONG EAST,year,1.0,-1.0,-0.87,0.87,0.87,0.87,0.0,-1.0,-0.87,0.87,-0.87,-0.87
JURONG EAST,weight_of_market_share,-1.0,1.0,0.87,-0.87,-0.87,-0.87,0.0,1.0,0.87,-0.87,0.87,0.87
JURONG EAST,customer_expectations_score,-0.87,0.87,1.0,-0.5,-0.5,-1.0,0.5,0.87,1.0,-1.0,0.5,0.5
JURONG EAST,perceived_overall_quality_score,0.87,-0.87,-0.5,1.0,1.0,0.5,0.5,-0.87,-0.5,0.5,-1.0,-1.0
JURONG EAST,perceived_value_score,0.87,-0.87,-0.5,1.0,1.0,0.5,0.5,-0.87,-0.5,0.5,-1.0,-1.0
JURONG EAST,customer_satisfaction_score,0.87,-0.87,-1.0,0.5,0.5,1.0,-0.5,-0.87,-1.0,1.0,-0.5,-0.5
JURONG EAST,customer_loyalty‎_user_trust_score,0.0,0.0,0.5,0.5,0.5,-0.5,1.0,0.0,0.5,-0.5,-0.5,-0.5
JURONG EAST,bus_agg_service_info,-1.0,1.0,0.87,-0.87,-0.87,-0.87,0.0,1.0,0.87,-0.87,0.87,0.87
JURONG EAST,bus_agg_safety,-0.87,0.87,1.0,-0.5,-0.5,-1.0,0.5,0.87,1.0,-1.0,0.5,0.5
JURONG EAST,bus_agg_comfort,0.87,-0.87,-1.0,0.5,0.5,1.0,-0.5,-0.87,-1.0,1.0,-0.5,-0.5
JURONG EAST,bus_agg_convenience,-0.87,0.87,0.5,-1.0,-1.0,-0.5,-0.5,0.87,0.5,-0.5,1.0,1.0
JURONG EAST,bus_agg_customer_service,-0.87,0.87,0.5,-1.0,-1.0,-0.5,-0.5,0.87,0.5,-0.5,1.0,1.0
JURONG WEST,year,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,-0.5
JURONG WEST,weight_of_market_share,0.5,1.0,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.5,-0.5,-1.0
JURONG WEST,customer_expectations_score,0.5,-0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
JURONG WEST,perceived_overall_quality_score,0.5,-0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
JURONG WEST,perceived_value_score,0.5,-0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
JURONG WEST,customer_satisfaction_score,0.5,-0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
JURONG WEST,customer_loyalty‎_user_trust_score,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,-0.5
JURONG WEST,bus_agg_service_info,0.5,-0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
JURONG WEST,bus_agg_safety,0.5,-0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
JURONG WEST,bus_agg_comfort,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,-0.5
JURONG WEST,bus_agg_convenience,0.5,-0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
JURONG WEST,bus_agg_customer_service,-0.5,-1.0,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,1.0
PUNGGOL,year,1.0,-1.0,0.63,0.63,0.5,0.63,-0.32,0.5,0.32,0.63,0.63,0.95
PUNGGOL,weight_of_market_share,-1.0,1.0,-0.63,-0.63,-0.5,-0.63,0.32,-0.5,-0.32,-0.63,-0.63,-0.95
PUNGGOL,customer_expectations_score,0.63,-0.63,1.0,1.0,0.95,1.0,0.4,0.95,0.8,1.0,1.0,0.8
PUNGGOL,perceived_overall_quality_score,0.63,-0.63,1.0,1.0,0.95,1.0,0.4,0.95,0.8,1.0,1.0,0.8
PUNGGOL,perceived_value_score,0.5,-0.5,0.95,0.95,1.0,0.95,0.63,1.0,0.63,0.95,0.95,0.74
PUNGGOL,customer_satisfaction_score,0.63,-0.63,1.0,1.0,0.95,1.0,0.4,0.95,0.8,1.0,1.0,0.8
PUNGGOL,customer_loyalty‎_user_trust_score,-0.32,0.32,0.4,0.4,0.63,0.4,1.0,0.63,0.2,0.4,0.4,0.0
PUNGGOL,bus_agg_service_info,0.5,-0.5,0.95,0.95,1.0,0.95,0.63,1.0,0.63,0.95,0.95,0.74
PUNGGOL,bus_agg_safety,0.32,-0.32,0.8,0.8,0.63,0.8,0.2,0.63,1.0,0.8,0.8,0.4
PUNGGOL,bus_agg_comfort,0.63,-0.63,1.0,1.0,0.95,1.0,0.4,0.95,0.8,1.0,1.0,0.8
PUNGGOL,bus_agg_convenience,0.63,-0.63,1.0,1.0,0.95,1.0,0.4,0.95,0.8,1.0,1.0,0.8
PUNGGOL,bus_agg_customer_service,0.95,-0.95,0.8,0.8,0.74,0.8,0.0,0.74,0.4,0.8,0.8,1.0
SENGKANG,year,1.0,0.87,-0.87,0.0,0.87,0.0,0.87,0.87,0.87,-1.0,-0.5,0.87
SENGKANG,weight_of_market_share,0.87,1.0,-1.0,0.5,1.0,0.5,0.5,1.0,1.0,-0.87,-0.87,0.5
SENGKANG,customer_expectations_score,-0.87,-1.0,1.0,-0.5,-1.0,-0.5,-0.5,-1.0,-1.0,0.87,0.87,-0.5
SENGKANG,perceived_overall_quality_score,0.0,0.5,-0.5,1.0,0.5,1.0,-0.5,0.5,0.5,0.0,-0.87,-0.5
SENGKANG,perceived_value_score,0.87,1.0,-1.0,0.5,1.0,0.5,0.5,1.0,1.0,-0.87,-0.87,0.5
SENGKANG,customer_satisfaction_score,0.0,0.5,-0.5,1.0,0.5,1.0,-0.5,0.5,0.5,0.0,-0.87,-0.5
SENGKANG,customer_loyalty‎_user_trust_score,0.87,0.5,-0.5,-0.5,0.5,-0.5,1.0,0.5,0.5,-0.87,0.0,1.0
SENGKANG,bus_agg_service_info,0.87,1.0,-1.0,0.5,1.0,0.5,0.5,1.0,1.0,-0.87,-0.87,0.5
SENGKANG,bus_agg_safety,0.87,1.0,-1.0,0.5,1.0,0.5,0.5,1.0,1.0,-0.87,-0.87,0.5
SENGKANG,bus_agg_comfort,-1.0,-0.87,0.87,0.0,-0.87,0.0,-0.87,-0.87,-0.87,1.0,0.5,-0.87
SENGKANG,bus_agg_convenience,-0.5,-0.87,0.87,-0.87,-0.87,-0.87,0.0,-0.87,-0.87,0.5,1.0,0.0
SENGKANG,bus_agg_customer_service,0.87,0.5,-0.5,-0.5,0.5,-0.5,1.0,0.5,0.5,-0.87,0.0,1.0
SERANGOON,year,1.0,0.27,-0.26,-0.26,0.77,0.26,-0.26,-0.26,-0.26,-0.26,0.26,-0.26
SERANGOON,weight_of_market_share,0.27,1.0,0.11,0.11,0.21,-0.11,0.63,0.11,0.11,0.11,-0.11,0.11
SERANGOON,customer_expectations_score,-0.26,0.11,1.0,1.0,0.4,0.8,0.8,1.0,1.0,1.0,0.8,1.0
SERANGOON,perceived_overall_quality_score,-0.26,0.11,1.0,1.0,0.4,0.8,0.8,1.0,1.0,1.0,0.8,1.0
SERANGOON,perceived_value_score,0.77,0.21,0.4,0.4,1.0,0.8,0.2,0.4,0.4,0.4,0.8,0.4
SERANGOON,customer_satisfaction_score,0.26,-0.11,0.8,0.8,0.8,1.0,0.4,0.8,0.8,0.8,1.0,0.8
SERANGOON,customer_loyalty‎_user_trust_score,-0.26,0.63,0.8,0.8,0.2,0.4,1.0,0.8,0.8,0.8,0.4,0.8
SERANGOON,bus_agg_service_info,-0.26,0.11,1.0,1.0,0.4,0.8,0.8,1.0,1.0,1.0,0.8,1.0
SERANGOON,bus_agg_safety,-0.26,0.11,1.0,1.0,0.4,0.8,0.8,1.0,1.0,1.0,0.8,1.0
SERANGOON,bus_agg_comfort,-0.26,0.11,1.0,1.0,0.4,0.8,0.8,1.0,1.0,1.0,0.8,1.0
SERANGOON,bus_agg_convenience,0.26,-0.11,0.8,0.8,0.8,1.0,0.4,0.8,0.8,0.8,1.0,0.8
SERANGOON,bus_agg_customer_service,-0.26,0.11,1.0,1.0,0.4,0.8,0.8,1.0,1.0,1.0,0.8,1.0
TAMPINES,year,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,1.0,1.0
TAMPINES,weight_of_market_share,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,1.0,1.0
TAMPINES,customer_expectations_score,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,1.0,1.0
TAMPINES,perceived_overall_quality_score,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,1.0,1.0
TAMPINES,perceived_value_score,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,-1.0,-1.0
TAMPINES,customer_satisfaction_score,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,-1.0,-1.0
TAMPINES,customer_loyalty‎_user_trust_score,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,-1.0,-1.0
TAMPINES,bus_agg_safety,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,-1.0,-1.0
TAMPINES,bus_agg_comfort,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,-1.0,-1.0
TAMPINES,bus_agg_convenience,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,1.0,1.0
TAMPINES,bus_agg_customer_service,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,1.0,1.0
WOODLANDS,year,1.0,0.49,0.13,0.17,-0.01,-0.33,-0.13,-0.43,-0.01,-0.07,-0.58,-0.28
WOODLANDS,weight_of_market_share,0.49,1.0,-0.29,-0.03,-0.54,-0.35,-0.09,-0.29,-0.5,-0.03,-0.55,-0.16
WOODLANDS,customer_expectations_score,0.13,-0.29,1.0,-0.02,0.08,-0.25,-0.27,0.27,-0.06,-0.37,0.02,0.27
