planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score
TAMPINES,train_agg_convenience,0.53,-0.18,0.02,0.44,0.41,0.38,0.54
TAMPINES,train_agg_comfort,0.6,-0.14,0.07,0.32,0.33,0.31,0.31
TAMPINES,train_agg_safety,0.15,0.54,0.26,0.7,0.75,0.71,0.33
TOA PAYOH,year,1.0,-0.91,0.0,0.0,-0.59,-0.58,-0.29
TOA PAYOH,weight_of_market_share,-0.91,1.0,0.16,0.0,0.81,0.47,0.32
TOA PAYOH,customer_loyalty‎_user_trust_score,-0.29,0.32,0.8,0.3,0.56,0.9,1.0
TOA PAYOH,train_agg_service_info,0.87,-0.79,0.3,0.0,-0.41,-0.1,0.2
TOA PAYOH,train_agg_customer_service,0.76,-0.92,0.11,0.32,-0.65,-0.21,-0.05
TOA PAYOH,train_agg_convenience,0.89,-0.89,0.21,0.05,-0.55,-0.15,0.1
TOA PAYOH,train_agg_comfort,0.89,-0.89,0.05,0.36,-0.55,-0.62,-0.36
TOA PAYOH,train_agg_safety,-0.3,0.0,0.26,0.21,-0.05,0.79,0.63
WOODLANDS,year,1.0,0.52,-0.06,0.12,0.07,-0.12,-0.07
WOODLANDS,weight_of_market_share,0.52,1.0,-0.28,0.01,0.49,-0.32,-0.07
WOODLANDS,customer_loyalty‎_user_trust_score,-0.07,-0.07,0.46,0.43,0.17,0.66,1.0
WOODLANDS,train_agg_service_info,0.78,0.6,0.23,0.16,0.13,0.21,0.25
WOODLANDS,train_agg_customer_service,0.73,0.43,0.16,0.39,0.23,0.15,0.17
WOODLANDS,train_agg_convenience,0.72,0.36,0.34,0.04,-0.02,0.41,0.31
WOODLANDS,train_agg_comfort,0.86,0.39,0.21,0.07,-0.15,0.15,0.0
WOODLANDS,train_agg_safety,-0.38,0.08,0.53,-0.05,0.19,0.52,0.28
YISHUN,year,1.0,0.16,0.19,-0.27,-0.31,-0.54,0.28
YISHUN,weight_of_market_share,0.16,1.0,0.04,0.49,0.1,0.45,0.57
YISHUN,customer_loyalty‎_user_trust_score,0.28,0.57,0.23,0.49,0.37,0.52,1.0
YISHUN,train_agg_service_info,0.78,0.19,0.61,-0.12,-0.14,-0.32,0.43
YISHUN,train_agg_customer_service,0.7,0.27,0.59,-0.17,-0.17,-0.26,0.41
YISHUN,train_agg_convenience,0.66,0.16,0.48,-0.13,-0.03,-0.13,0.42
YISHUN,train_agg_comfort,0.88,0.34,0.35,-0.18,-0.22,-0.38,0.41
YISHUN,train_agg_safety,-0.41,0.04,0.2,0.55,0.66,0.71,0.26
